"ontology1","ontology2","metric","value","matcher"
"source-segment-conference-ekaw","target-segment-conference-ekaw","fmeasure","0.7499999999999999","AML"
"source-segment-cmt-confOf","target-segment-cmt-confOf","fmeasure","0.7142857142857143","AML"
"source-segment-cmt-ekaw","target-segment-cmt-ekaw","fmeasure","0.6153846153846153","AML"
"source-segment-conference-sigkdd","target-segment-conference-sigkdd","fmeasure","0.7499999999999999","AML"
"source-segment-ekaw-iasted","target-segment-ekaw-iasted","fmeasure","0.75","AML"
"source-segment-cmt-edas","target-segment-cmt-edas","fmeasure","0.6666666666666666","COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED"
"source-segment-cmt-iasted","target-segment-cmt-iasted","fmeasure","1","AML"
"source-segment-confOf-sigkdd","target-segment-confOf-sigkdd","fmeasure","0.8571428571428571","AML"
"source-segment-cmt-sigkdd","target-segment-cmt-sigkdd","fmeasure","0.8000000000000002","AML-SC-45"
"source-segment-cmt-conference","target-segment-cmt-conference","fmeasure","0.5454545454545454","AML"
"source-segment-confOf-ekaw","target-segment-confOf-ekaw","fmeasure","0.625","COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA"
"source-segment-edas-sigkdd","target-segment-edas-sigkdd","fmeasure","0.75","COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED"
"source-segment-edas-ekaw","target-segment-edas-ekaw","fmeasure","0.6666666666666666","AML"
"source-segment-confOf-iasted","target-segment-confOf-iasted","fmeasure","0.6666666666666666","COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED"
"source-segment-edas-iasted","target-segment-edas-iasted","fmeasure","0.6666666666666666","COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED"
"source-segment-conference-iasted","target-segment-conference-iasted","fmeasure","0.8","AML-SC-69"
"source-segment-confOf-edas","target-segment-confOf-edas","fmeasure","0.7999999999999999","AML"
"source-segment-conference-edas","target-segment-conference-edas","fmeasure","0.75","AML-WC-23"
"source-segment-iasted-sigkdd","target-segment-iasted-sigkdd","fmeasure","0.7142857142857143","AML"
"source-segment-conference-confOf","target-segment-conference-confOf","fmeasure","0.9333333333333333","AML-WC-23"
"source-segment-ekaw-sigkdd","target-segment-ekaw-sigkdd","fmeasure","0.5714285714285715","AML"
